company_id,employee_count,follower_count,time_recorded,log_employee_count,log_follower_count
391906,186.0,32508.0,1712346173,5.231108616854587,10.389272253058634
22292832,311.0,4471.0,1712346173,5.7430031878094825,8.405591014834934
20300,1053.0,6554.0,1712346173,6.960347729101308,8.7879833961978
3570660,383.0,35241.0,1712346173,5.950642552587727,10.469993832128676
878353,52.0,26397.0,1712346173,3.970291913552122,10.1810435286889
729238,268.0,41433.0,1712346173,5.594711379601839,10.631857078805835
766849,24.0,68011.0,1712346173,3.2188758248682006,11.127439439177376
12828,2659.0,43975.0,1712346173,7.886081401775745,10.691399309540497
2934678,331.0,121007.0,1712346173,5.805134968916488,11.703611938095811
15984730,481.0,50359.0,1712346173,6.1779441140506,10.826952488158284
34771607,3.0,181.0,1712346173,1.3862943611198906,5.204006687076795
947812,102.0,2831.0,1712346173,4.634728988229636,7.94873845481361
6618000,11.0,7478.0,1712346173,2.4849066497880004,8.919854372191667
5887,1426.0,181216.75,1712346173,7.2633296174768365,12.107454625850833
34214892,79.0,828.0,1712346173,4.382026634673881,6.720220155135295
16239240,7278.5,181216.75,1712346173,8.892817457513381,12.107454625850833
75056372,120.0,64456.0,1712346173,4.795790545596741,11.07375361379616
23656,622.0,181216.75,1712346173,6.434546518787453,12.107454625850833
33218,191.0,36335.0,1712346173,5.2574953720277815,10.50056426434534
1712844,419.0,10639.0,1712346173,6.040254711277414,9.272375762895635
11056,7278.5,181216.75,1712346173,8.892817457513381,12.107454625850833
24440,6335.0,181216.75,1712346248,8.754002933494261,12.107454625850833
4592,7278.5,181216.75,1712346248,8.892817457513381,12.107454625850833
33671,4668.0,84754.0,1712346248,8.448700194970938,11.347520020552587
11676886,0.0,7.0,1712346248,0.0,2.0794415416798357
7164053,108.0,2036.0,1712346248,4.6913478822291435,7.619233416226805
14158,450.0,148678.0,1712346248,6.111467339502679,11.909544898534387
366025,7278.5,72339.0,1712346248,8.892817457513381,11.18913250550609
18306,7278.5,83680.0,1712346248,8.892817457513381,11.334767229514153
6213,3857.0,72351.0,1712346248,8.257904193465674,11.189298375077696
349088,744.0,10689.0,1712346248,6.61338421837956,9.27706400401909
3556531,64.0,1781.0,1712346248,4.174387269895637,7.485491608030754
4433,3453.0,181216.75,1712346248,8.147288258706624,12.107454625850833
4787,7278.5,181216.75,1712346248,8.892817457513381,12.107454625850833
65294553,72.0,68800.0,1712346248,4.290459441148391,11.138973558699526
90869,17.0,9909.0,1712346248,2.8903717578961645,9.201299627324033
7790573,16.0,233.0,1712346248,2.833213344056216,5.455321115357702
74827,61.0,70835.0,1712346323,4.127134385045092,11.16812262502869
5396873,161.0,108038.0,1712346323,5.087596335232384,11.590247552032542
99410085,0.0,53.0,1712346323,0.0,3.9889840465642745
261933,205.0,49801.0,1712346323,5.327876168789581,10.815810422848898
164376,6700.0,181216.75,1712346323,8.81001204797317,12.107454625850833
36226,163.0,3217.0,1712346323,5.099866427824199,8.076515327552329
50861,621.0,142004.0,1712346323,6.432940092739179,11.863617547231101
1054905,1999.0,31330.0,1712346323,7.600902459542082,10.35236330172604
18939015,0.0,927.0,1712346323,0.0,6.833031732786201
2855513,1082.0,178948.0,1712346323,6.9874902470009905,12.094856128025443
649827,430.0,181216.75,1712346323,6.066108090103747,12.107454625850833
4015761,187.0,750.0,1712346323,5.236441962829949,6.621405651764134
24803,130.0,60572.0,1712346323,4.875197323201151,11.011604528218484
13345578,279.0,85916.0,1712346323,5.634789603169249,11.36113699293199
98504846,36.0,253.0,1712346323,3.6109179126442243,5.537334267018537
